0,1
cambridge analytica,64289
steve bannon,10185
funded cambridge,8832
analytica weaponized,8806
weaponized data,8801
breitbart created,8799
funded breitbart,8799
created steve,8799
funded secre,8797
proudresister funded,8797
robert mercer,4481
data firm,4347
facebook suspends,4049
analytica whistleblower,3715
analytica data,3627
facebook cambridge,2812
john bolton,2750
mark zuckerberg,2594
ukip cambridge,2351
breitbart ukip,2345
analytica httpstcopmiaouem,2342
carolecadwalla brexits,2341
facebook data,2242
analytica scandal,2222
data scandal,2159
ties cambridge,2033
suspends aggregateiq,1956
cambridge analyticas,1918
owner cambridge,1899
mercer owner,1892
ugly amp,1888
analytica targeted,1888
amp shocking,1888
paid robert,1888
carolecadwalla ugh,1886
scandal implodes,1842
key questions,1815
vote leave,1744
link cambridge,1721
analytica aiq,1716
carolecadwalla also,1674
evidence chrisinsilico,1673
chrisinsilico presented,1673
presented parliament,1672
documents link,1672
parliament documents,1672
carolecadwalla evidence,1670
aiq last,1670
suspended facebook,1403
data breach,1386
carolecadwalla cambridge,1381
data collection,1362
castigating facebook,1333
sends data,1331
facebook says,1306
elections theyve,1295
also america,1295
worked elections,1295
america aiq,1295
aiq worked,1295
analytica dont,1240
bolton going,1219
bmalmet john,1219
extensive ties,1219
whistleblower chrisinsilico,1201
bbc news,1189
chrisinsilico states,1183
facts evidence,1181
evidence documents,1181
documents httpstcod,1180
video cambridge,1109
facebook users,1006
breitbart cambridge,977
million users,907
admits cambridge,898
channel news,841
parent company,834
says data,834
suspends data,810
firm hired,808
news staff,806
impartially amp,806
news impartially,806
reporting news,806
amp breaking,806
asked aiq,805
analytica facebook,803
analytica helped,793
worked cambridge,781
whistleblower christopher,766
hired vote,765
alleged cambridge,762
analytica ties,754
analytica heres,751
data analytics,735
facebook admits,730
analytics firm,720
trump campaign,715
analytica made,710
could come,709
carolecadwalla heres,707
shared cambridge,705
via facebook,697
zuckerberg refuses,697
parliament heres,697
disturbing video,696
carolecadwalla mark,694
heres disturbing,691
aiq distribute,691
distribute via,690
facebook scare,689
made amp,689
amp asked,689
scare people,688
analytica also,687
firm cambridge,675
wcambridge analytica,666
operative worked,663
worked wcambridge,663
amp business,663
also nearly,662
friendship amp,661
links cambridge,660
shady data,638
analytica story,635
like cambridge,633
caso cambridge,628
facebook could,627
data million,625
planned cambridge,620
wylie says,608
firm already,608
users data,607
carolecadwalla chrisinsilico,604
facebookcambridge analytica,591
data facebook,588
gathered facebook,586
firm gathered,585
facebook profiles,582
firm worked,578
data users,576
funds robert,573
ahamiltonspirit john,573
heres documents,573
chrisinsilico revealed,573
cambridge analyti,569
another data,564
data mining,557
suspends another,554
analytica hijacked,534
hijacked data,534
know breitbart,525
firm aggregateiq,525
analytica began,524
used cambridge,518
brexit vote,511
analytica tuvo,504
analytica campaign,485
analytica took,480
know data,475
carolecadwalla blimey,475
midterm elections,474
access cambridge,471
crewcrew trump,470
multiple ties,469
trump multiple,469
campaign break,468
fake news,467
analytica servers,467
says facebook,466
aiq data,466
aiq may,459
confirm aiq,458
writes aiq,458
aiq indeed,458
may access,458
also colluded,456
mark guilty,456
accessed also,456
gaetasusan mark,455
million people,453
carolecadwalla important,452
datos cambridge,451
firm enmeshed,447
breach evidence,447
evidence says,447
discovered aiq,447
voteleave data,447
says voteleave,447
republican worked,445
analytica may,444
wylie cambridge,437
wanted data,433
money robert,425
analytica according,423
mercer known,421
analytica backed,421
altright data,419
crewcrew robert,418
aiq hugely,417
partner cambridge,417
elections crucial,417
according chrisinsilico,417
carolecadwalla aiq,416
willblackwriter cambridge,415
facebook threatened,413
personal data,412
mercer implicated,411
thirdparty data,409
obama amp,407
analytica get,407
wfake cambridge,406
data may,406
remember facebook,406
amp romney,406
facebook afectadas,405
carolecadwalla points,403
mercer spent,401
bannon data,401
bolton never,400
clear john,400
user data,398
bannon wanted,396
whistleblower bannon,393
data altright,389
says cambridge,388
company helped,384
also cbc,382
trumps campaign,381
counting breitbart,379
topped million,379
amount robert,379
murder video,378
analytica amp,378
analytica breach,377
firm cnbc,371
get data,366
one cambridge,365
million facebook,358
referendum vote,358
suspends aggregate,358
jolyonmaugham facebook,357
sandberg says,357
data shared,356
facebook est,355
scandal gone,353
outcome brexit,352
charlesmilander cambridge,352
may well,352
vote may,352
whistleblower testified,352
islwynpaul cambridge,351
facebook suspended,350
facebook let,347
manipulator steve,342
analytica established,342
firm bbcn,341
analytica podra,337
knew cambridge,329
canadian data,329
data youll,324
significance cambridge,321
news really,321
people murdered,320
data fir,320
affected cambridge,319
murdered video,319
brexit referendum,319
bannon trump,317
made cambridge,317
analytica trumps,316
analytica employee,315
mercer cambridge,314
video macheted,313
cnnbrk cambridge,309
second whistleblower,309
que cambridge,308
carolecadwalla people,306
analytica could,305
axios cambridge,305
whistleblower says,304
campaign john,304
whistleblower gave,303
urges users,303
evidence vote,302
gave evidence,302
company already,302
used firm,302
campaign urges,302
firm faci,301
carolecadwalla company,301
faceblock campaign,301
inform facebook,301
boycott facebook,300
analytica boss,300
breaking facebook,299
facebook demandan,299
users boycott,298
analytica denies,294
alongside cambridge,294
cnnee facebook,294
analytica contact,293
patten ties,293
accessing data,292
made firm,292
worked afd,292
analytica aparta,291
access data,291
data cambridge,290
carolecadwalla look,289
facebook knew,286
data could,284
million million,284
por cambridge,280
scandal cambridge,278
users may,278
facebook usersclaims,277
cambridge anal,276
profiles million,276
billion users,273
check cambridge,273
brexit voteleave,270
hide data,270
cambridge analyticafacebook,270
investigate steve,269
banned facebook,269
campaign httpstcocwvorhsra,269
analytica aka,268
louisebagshawe cambridge,268
users know,268
campaign twi,267
intelligence facebook,267
facebook links,265
bulk brexit,265
company received,265
analytica bdomenech,264
peterjukes company,264
cover robert,264
buried news,263
thinkprogress cambridge,262
monday facebook,259
company faile,259
ago company,259
brexit cambridge,259
could gotten,258
donald trump,256
second brexit,254
questions mark,251
zuckerberg must,251
facebook revel,251
video terrifying,250
found video,250
cambridge analy,249
analytica sets,249
marekadochnal cambridge,249
may compromised,246
vital questions,245
amid cambridge,243
slate facebook,238
could exceed,237
exceed million,236
suspends canadian,235
happened data,233
zuckerberg appear,233
amp explain,232
demand mark,232
revistaproceso cambridge,231
former cambridge,225
notifying million,223
compromised cambridge,221
lawsuit facebook,219
million europeans,219
facebook coo,217
thanking steve,217
come million,213
says let,213
analytica thing,209
data harvested,205
facebook confirmed,204
bolton needs,204
problem could,203
million accounts,203
confirmed data,201
says audited,200
harvested data,199
data improperly,198
bigger scandal,196
spin cambridge,195
director cambridge,194
analytica quietly,193
piece cambridge,193
linked cambridge,192
audited cambridge,192
exclusive cambridge,192
con cambridge,191
breitbart delete,190
facebook one,190
analytica imo,190
bannon brexit,190
analytica former,188
may affected,187
story cambridge,186
zuckerberg says,186
therynheart cambridge,186
may used,185
theipaper breitbart,185
users stored,184
facebook ceo,184
millions cambridge,184
believes cambridge,184
testifies parliament,183
mercer pumping,183
parliament robert,183
former trump,183
users whose,181
cnn cambridge,180
billion facebook,180
whose data,180
analytica brexit,174
facebook sheryl,174
astonishing facebook,174
paid cambridge,173
analytica harvested,173
facebook mexicanos,172
analytica used,172
rdmx facebook,171
analytica worked,170
analytica news,170
facebook notifying,169
whistleblower facebook,169
amp cambridge,169
users httpstcogvowwktkt,168
sandberg facebook,167
graphic video,166
jenarovillamil cambridge,165
may improperly,165
facebook user,164
may data,164
abremaslosojos cambridge,162
pokes mark,161
facebook notify,161
zuckerberg sheer,161
video used,161
scandal could,160
says users,159
data privacy,159
company claimed,159
creepiness cambridge,159
amp aiq,158
campaign tainted,158
coo facebook,157
via six,157
facebook received,156
many million,155
leave campaign,155
pac could,154
bolton president,154
could raise,153
big data,153
noahbookbinder john,153
cambridgeanalytica scandal,152
questions congressional,152
ethical questions,152
political data,151
affected data,151
data mln,151
children data,150
accessed facebook,150
siphoned cambridge,150
zuckerberg many,150
data siphoned,150
question zuckerberg,150
analytica contractor,150
facebook continues,149
people may,149
mln users,147
time facebook,147
abandon facebook,147
ajplus facebook,147
confirmation data,147
clairetyai facebook,147
escndalo facebook,147
said company,146
facebook responsibility,145
koch data,145
ceo mark,144
excambridge analytica,144
many questions,142
cambridge ana,142
scandal trigger,142
know cambridge,142
millions facebook,142
hawaiidelilah cambridge,141
rest robert,141
news rest,141
downplaying cambridge,141
notify users,140
profiles could,139
via thinkprogress,139
facebook zuckerberg,139
could prevented,138
million cambridge,138
facebook bans,138
mistakes company,136
zuckerberg apologized,136
ajenglish facebook,136
company made,136
thehill cambridge,135
analytica leak,135
asking john,134
data harvesting,134
bolton get,134
scandal facebook,134
heres know,134
cnbc facebook,134
could russia,133
prevented cambridge,133
aggregateiq amid,133
facebook begin,132
analytica privacidade,132
canadian firm,131
whether facebook,131
check facebook,131
data used,130
review could,130
bannon breitbart,130
analytica twoandahalf,129
leavebeleave cambridge,129
aiq reported,129
vote leavebeleave,129
watch vote,129
news cambridge,128
facebook scandal,128
vote leaves,127
sobre cambridge,127
watch video,127
consulting firm,127
facebook denied,126
analytica httpstcorynfrd,126
facebook suspend,125
john boltons,125
denied cambridge,125
denied facebook,125
acquired data,125
analytica says,125
company absolutely,124
analytica leaked,124
video learn,124
may accessed,124
news watch,124
facebook take,124
fixing facebook,122
wake cambridge,122
analytica steal,121
following cambridge,121
people affected,121
users affected,121
bannon named,121
analytica influence,120
que mark,120
data part,120
says made,120
users information,120
whistleblower accessed,120
let users,120
data pribadi,119
relationship cambridge,119
analytica tiene,118
whistleblower data,117
number people,117
zuckerberg dijo,117
juddlegum cambridge,116
exposed cambridge,115
zuckerberg speak,115
questions asked,115
facebook por,115
indians data,115
brexit claims,115
mercerowned cambridge,114
wants mark,114
aiq relationship,114
precisely aiq,114
parliament wants,114
tactic cambridge,114
aiq precisely,114
affected could,113
politico cambridge,113
data conspiracy,112
investigation brexit,112
marketing firm,112
brexit camb,111
part cambridge,111
million httpstcoffamfculvx,111
breach could,111
sandberg cambridge,111
facebook suspect,110
carolecadwalla new,110
booted facebook,110
data breaches,110
brexit leave,110
says million,110
firm gets,110
facebook kicks,109
could much,109
scientistseu vote,109
could higher,109
